,nombreestablecimiento,Primary,Secondary,Middle,Preschool,Childcare,bilingual,public,lat,lon
59,JARDÍN INFANTIL CHISPITAS DE LUZ,False,False,False,True,False,False,False,4.710988599999999,-74.072092
60,COL MODERNO ENGATIVA                                                                                ,True,True,True,True,False,True,False,4.7048212,-74.1361306
61,COL SANTO TOMAS DE AQUINO                                                                           ,True,True,True,True,False,True,False,4.717278500000001,-74.0496802
62,GIMNASIO LA FONTAINE,True,False,False,True,False,False,False,4.5927367,-74.1742141
63,UNID PREESC SANTA MONICA                                                                            ,False,False,False,True,False,True,False,4.6456424,-74.0829412
64,COL DE BTO PATRIA                                                                                   ,False,True,True,False,False,False,False,4.6893141,-74.0709184
65,LICEO HUELLAS DE TRIUNFO,False,False,False,False,False,False,False,4.710644500000001,-74.0975181
66,LIC DE CERVANTES EL RETIRO                                                                          ,True,True,True,True,False,False,False,4.664508,-74.0494885
67,COLEGIO ALEMANIA UNIFICADA (IED),True,True,True,True,False,False,True,4.5543312,-74.0983033
68,NUEVO LIC PSICOPEDAGOGICO                                                                           ,True,False,False,True,False,True,False,4.6211464,-74.1480682
69,INST RICHARD ANTONIO                                                                                ,True,False,False,True,False,False,False,4.7172497,-74.1033867
70,LIC INF MIS PRIMEROS LOGROS                                                                         ,True,False,False,True,False,False,False,4.5441169,-74.09173059999999
71,LIC OCTAVIO PAZ                                                                                     ,True,True,True,True,False,False,False,4.6283349,-74.1906581
72,COLEGIO JOSÉ FRANCISCO SOCARRÁS (IED),True,True,True,True,False,False,True,4.6238324,-74.12341719999999
73,COLEGIO NUEVA GENERACIÓN DUMBO,True,False,False,True,False,True,False,4.5793522,-74.0776616
74,INST BILING DEL  SUR                                                                                ,True,False,False,True,False,True,False,4.5782643,-74.1394207
75,COLEGIO VENTIUN ANGELES (IED),True,True,True,True,False,False,True,4.749821,-74.08054609999999
76,GIMN PUCIARRELLI,True,False,False,True,False,False,False,4.7062534,-74.12479739999999
77,COLEGIO FRANCISCO DE PAULA SANTANDER (IED),True,True,True,True,False,False,True,4.6109254,-74.1847447
78,COL DEL ROSARIO DE SANTO DOMINGO                                                                    ,True,True,True,True,False,False,False,4.5651402,-74.1822362
79,COL COLOMBO HEBREO                                                                                  ,True,True,True,True,False,False,False,4.7560237,-74.0944039
80,LIC PSICOPEDAG ELLEN KEY                                                                            ,True,False,False,True,False,False,False,4.6702903,-74.12067259999999
81,COLEGIO SANDALPHON,False,True,True,False,False,False,False,4.7247378,-74.04555739999999
82,COL SOLES DEL SABER                                                                                 ,True,True,True,True,False,True,False,4.5878932,-74.1727945
83,LIC PEDAG CREAR Y APRENDER                                                                          ,True,False,False,True,False,True,False,4.5850053,-74.1068378
84,LICEO INFANTIL JEAN PIAGET,False,False,False,True,False,False,False,4.5684323,-74.1466398
85,COLEGIO MARSELLA (IED),True,True,True,True,False,False,True,4.6320158,-74.127286
86,JARD INF RONDITAS DE ALCAPARROS                                                                     ,False,False,False,True,False,True,False,4.7378966,-74.1036377
87,LIC LA SABANA                                                                                       ,True,True,True,True,False,True,False,4.753102000000001,-74.0372646
88,COLEGIO LUIS ANGEL ARANGO  (IED),True,True,True,True,False,False,True,4.682079,-74.13779389999999
89,JARD INF GIMN CASTELLO                                                                              ,False,False,False,True,False,False,False,4.7094816,-74.0556033
90,JARD INF CARRUSEL DE COLORES                                                                        ,True,False,False,True,False,True,False,4.6460683,-74.109436
91,COLEGIO COLSUBSIDIO CHICALÁ,True,True,True,True,False,True,False,4.640236,-74.159589
